"Month","Trtmt","OTU","baseMean","l2FC","SE","pvalue","Kingdom","Phylum","Class","Order","Family","Genus","Species","Total","padj","Minerals"
"46",2,"Ferrihydrite","19_7776",2.68002421675704,-0.714175652525703,1.08193287363488,0.50919454422102,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.639007156930867,"Minerals"
"47",2,"Ferrihydrite","4_1463",14.657293141194,3.10009725012052,1.01019918760775,NA,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,NA,"Minerals"
"48",2,"Ferrihydrite","19_8630",6.37535347093874,3.05358502262461,0.803057064017784,0.000143271691164927,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.00161527277619813,"Minerals"
"49",2,"Ferrihydrite","70_49",10.9792494822484,4.73311722457162,0.777266930258904,1.13309151413735e-09,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Sediminibacterium",NA,18848.5892299592,5.86689606208897e-08,"Minerals"
"50",2,"Ferrihydrite","74.2_145295",1.71614768611345,1.3327628764928,0.930591301982461,0.152095811104592,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.28227730826083,"Minerals"
"51",2,"Ferrihydrite","23_1680",1.34909885465977,0.724551787577313,1.10882041325932,0.51347023084187,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.640383457903486,"Minerals"
"52",2,"Ferrihydrite","4_89333",1.97819405552309,3.2236659269586,1.30045026368396,0.0131793996973719,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,18848.5892299592,0.0598207817432658,"Minerals"
"53",2,"Ferrihydrite","56_65",3256.9233513257,8.9978957217992,1.55438066265881,NA,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Chitinophaga",NA,18848.5892299592,NA,"Minerals"
"54",2,"Ferrihydrite","59_114388",6.40412509823747,5.42156268067041,1.40227916635968,0.000110521370187004,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Chitinophaga",NA,18848.5892299592,0.00132058867967035,"Minerals"
"55",2,"Ferrihydrite","67_18235",4.85294139182369,1.68289631066617,1.88336694440515,0.371558793064762,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Chitinophaga",NA,18848.5892299592,0.522049439904058,"Minerals"
"56",2,"Ferrihydrite","71_34878",1.09038587065021,5.37347362623068,1.89510382075912,0.00457610643473066,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Saprospiraceae",NA,NA,18848.5892299592,0.0280587578761117,"Minerals"
"57",2,"Ferrihydrite","89_14710",0.989627732240828,5.03612117303088,2.16708616605834,0.0201301212652095,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales",NA,NA,NA,18848.5892299592,0.0769947109628946,"Minerals"
"58",2,"Ferrihydrite","103_97874",1.5442004772049,1.00129918602519,1.06230241907966,0.345898581070058,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales",NA,NA,NA,18848.5892299592,0.499576189436617,"Minerals"
"59",2,"Ferrihydrite","67.2_7789",0.635758332214465,-3.42348348205962,2.19860052679047,0.11944214536485,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales",NA,NA,NA,18848.5892299592,0.23494185786577,"Minerals"
"60",2,"Ferrihydrite","1_55756",1.70377939195944,2.37232455741633,1.1077700311678,0.0322311908068506,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales",NA,NA,NA,18848.5892299592,0.0992493496651479,"Minerals"
