OTUId	2_12	2_9	2_6	2_3	Ferrihydrite	1_12	Heavy	1_9	Kaolinite	1_6	Quartz	1_3
OTU_67825;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
OTU_60126;barcodelabel=2_12	3	0	0	0	0	1	0	0	0	0	0	0
OTU_189049;barcodelabel=2_9	0	3	0	0	0	0	0	0	0	0	0	0
OTU_197027;barcodelabel=1_12	0	0	0	0	3	3	0	0	0	0	0	0
67.2_4675;barcodelabel=Ferrihydrite	0	0	2	0	3	0	0	0	0	0	0	0
OTU_217180;barcodelabel=2_12	3	0	0	0	0	0	0	0	0	0	0	0
69.2_63145;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
OTU_36137;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
OTU_364762;barcodelabel=2_12	3	0	0	0	0	0	0	0	0	0	0	0
OTU_74413;barcodelabel=2_3	0	0	0	3	0	0	0	0	0	0	0	0
8_5823;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
OTU_29562;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
OTU_23643;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
OTU_49200;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
72.2_12524;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
OTU_36622;barcodelabel=2_12	3	0	0	0	0	0	0	0	0	0	0	0
OTU_48794;barcodelabel=2_12	3	0	0	0	0	0	0	0	0	0	0	0
73_154898;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
OTU_219599;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
OTU_219935;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
OTU_34313;barcodelabel=2_9	0	3	0	0	0	0	0	0	0	0	0	0
OTU_43189;barcodelabel=2_12	3	0	0	0	2	0	0	0	0	0	0	0
7_22632;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
OTU_35363;barcodelabel=2_12	3	0	0	0	0	0	0	0	0	0	0	0
OTU_110163;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
1_4779;barcodelabel=Ferrihydrite	0	0	0	0	3	0	0	0	0	0	0	0
OTU_33839;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
69.2_56617;barcodelabel=Heavy	0	0	0	0	0	0	3	0	0	0	0	0
OTU_35035;barcodelabel=1_12	0	0	0	0	0	3	0	0	0	0	0	0
