OTUId	2_12	2_9	2_3	2_6	1_12	Ferrihydrite	Heavy	Kaolinite	1_6	1_9	Quartz	1_3
61_2682	0	0	0	0	0	1	0	0	0	0	0	0
74.2_519	0	0	0	0	0	0	1	0	0	0	0	0
39_20	0	0	0	0	0	1	0	0	0	0	0	0
55_8000	0	0	0	0	0	1	0	0	0	0	0	0
67.2_10132	0	0	0	0	0	1	0	0	0	0	0	0
75.2_25586	0	0	0	0	0	0	0	1	0	0	0	0
77.2_20040	0	0	0	0	0	1	0	0	0	0	0	0
4_31071	0	0	0	0	0	1	0	0	0	0	0	0
73_109152	0	0	0	0	0	1	0	0	0	0	0	0
3_236966	0	0	0	0	0	0	0	1	0	0	0	0
51_70882	0	0	0	0	0	0	1	0	0	0	0	0
50_14556	0	0	0	0	0	1	0	0	0	0	0	0
41_2876	0	0	0	0	0	1	0	0	0	0	0	0
26_6814	0	0	0	0	0	1	0	0	0	0	0	0
61_49926	0	0	0	0	0	0	0	1	0	0	0	0
65_23744	0	0	0	0	0	1	0	0	0	0	0	0
58_15968	0	0	0	0	0	0	1	0	0	0	0	0
41_36926	0	0	0	0	1	0	0	0	0	0	0	0
22_4336	0	0	0	0	0	0	1	0	0	0	0	0
91_30450	0	0	0	0	0	0	0	1	0	0	0	0
71_16156	0	0	0	0	0	0	0	1	0	0	0	0
21_55609	0	0	0	0	0	0	1	0	0	0	0	0
70_6364	0	0	0	0	0	1	0	0	0	0	0	0
4_9046	0	0	0	1	1	0	0	0	0	0	0	0
22_215	0	0	0	0	1	0	0	0	0	0	0	0
56_1002599	0	0	0	0	0	1	0	0	0	0	0	0
74.2_26633	0	0	0	0	0	1	0	0	0	0	0	0
79_241	0	0	0	0	0	1	0	0	0	0	0	0
75_324964	0	0	0	0	0	0	0	1	0	0	0	0
76.2_211531	0	0	0	0	0	1	0	0	0	0	0	0
64_8342	0	0	0	0	0	1	0	0	0	0	0	0
67.2_2456	0	0	0	0	0	0	1	0	0	0	0	0
38_6840	0	0	0	0	0	0	1	0	0	0	0	0
28_785	0	0	0	0	0	1	0	0	0	0	0	0
52_12417	0	0	0	0	0	1	0	0	0	0	0	0
65_16235	0	0	0	0	0	1	0	0	0	0	0	0
15_66648	0	0	0	0	0	1	0	0	0	0	0	0
9_33567	1	0	0	0	0	0	0	0	0	1	0	0
58_28377	0	0	0	0	0	0	1	0	0	0	0	0
58_3595	0	0	0	0	0	1	0	0	0	0	0	0
69.2_1826	0	0	0	0	0	1	0	0	0	0	0	0
67_57	0	0	0	0	0	1	0	0	0	0	0	0
67_3677	0	0	0	0	1	0	0	0	0	0	0	0
10_6031	0	0	0	0	0	1	0	0	0	0	0	0
59_1634	0	0	0	0	0	1	0	0	0	0	0	0
67.2_62	0	0	0	0	0	1	0	0	0	0	0	0
67_819	0	0	0	0	0	1	0	0	0	0	0	0
28_1362	0	0	0	0	0	1	0	0	0	0	0	0
72_29173	0	0	0	0	0	1	0	0	0	0	0	0
30_40162	0	0	0	0	0	0	0	1	0	0	0	0
69_33507	0	0	0	0	1	0	0	0	0	0	0	0
47_457099	0	0	0	0	0	1	0	0	0	0	0	0
38_182063	0	0	0	0	0	1	0	0	0	0	0	0
23_88397	0	0	0	0	0	1	0	0	0	0	0	0
22_71955	0	0	0	0	0	1	0	0	0	0	0	0
39_3976	0	0	0	0	0	1	0	0	0	0	0	0
19_88143	0	0	0	0	0	0	0	1	0	0	0	0
4_412	0	1	0	0	0	0	0	0	0	0	0	0
41_75280	0	0	0	0	0	1	0	0	0	0	0	0
3_67070	0	0	0	0	0	0	0	1	0	0	0	0
72.2_6578	0	0	0	0	0	1	0	0	0	0	0	0
71.2_31465	0	0	0	0	0	0	0	1	0	0	0	0
68.2_103071	0	0	0	0	0	0	0	1	0	0	0	0
15_29491	0	0	0	0	0	0	0	1	0	0	0	0
71_405	0	0	0	0	0	0	0	1	0	0	0	0
26_9582	0	0	0	0	0	1	0	0	0	0	0	0
59_936	0	0	0	0	0	1	0	0	0	0	0	0
73.2_4111	0	0	0	0	0	1	0	0	0	0	0	0
19_4810	0	0	0	0	0	1	0	0	0	0	0	0
61_7674	0	0	0	0	0	1	0	0	0	0	0	0
24_8216	0	0	0	0	0	1	0	0	0	0	0	0
76_12407	0	0	0	0	0	1	0	0	0	0	0	0
62_892	0	0	0	0	0	1	0	0	0	0	0	0
70_320	0	0	0	0	0	1	0	0	0	0	0	0
4_7334	0	0	0	0	0	1	0	0	0	0	0	0
49_92535	0	0	0	0	0	0	0	0	0	0	1	0
75_10608	0	0	0	0	0	0	0	1	0	0	0	0
38_74174	0	0	0	0	0	0	0	1	0	0	0	0
73_15500	0	0	0	0	0	0	0	1	0	0	0	0
7_10215	1	0	0	0	0	0	0	0	0	0	0	0
23_9548	0	0	0	0	0	0	0	1	0	0	0	0
70_251658	0	0	0	0	0	1	0	0	0	0	0	0
71_162864	0	0	0	0	0	0	0	1	0	0	0	0
39_212135	0	0	0	0	0	1	0	0	0	0	0	0
74.2_193	0	0	0	0	1	0	0	0	0	0	0	0
3_26054	0	0	0	0	0	0	0	1	0	0	0	0
72_44141	0	0	0	0	0	0	0	1	0	0	0	0
73.2_246598	0	0	0	0	0	0	0	1	0	0	0	0
70_2247	0	0	0	0	0	0	0	0	0	1	0	0
73_27956	0	0	0	0	0	0	0	1	0	0	0	0
55_254	1	0	0	0	0	0	0	0	0	0	0	0
75_119287	0	0	0	0	0	0	0	1	0	0	0	0
67.2_22346	0	0	0	0	0	1	0	0	0	0	0	0
58_98696	0	0	0	0	0	0	0	0	0	0	1	0
76.2_67899	0	0	0	0	0	0	0	1	0	0	0	0
71.2_72287	0	0	0	0	0	0	0	1	0	0	0	0
3_30191	0	0	0	0	0	0	0	1	0	0	0	0
43_12491	0	0	0	0	0	1	0	0	0	0	0	0
26_25438	0	0	0	0	0	0	0	0	0	1	0	0
21_139384	0	0	0	1	0	0	0	0	0	0	0	0
70_207600	0	0	0	0	0	1	0	0	0	0	0	0
3_251974	0	0	0	0	0	0	0	1	0	0	0	0
73_176134	0	0	0	0	0	0	0	1	0	0	0	0
72.2_92861	0	0	0	0	0	1	0	0	0	0	0	0
58_93423	0	0	0	0	0	1	0	0	0	0	0	0
21_1330	0	0	0	0	0	0	0	0	1	0	0	0
73_161555	0	0	0	0	0	0	0	1	0	0	0	0
70_86190	0	0	0	0	0	0	0	1	0	0	0	0
71_103379	0	0	0	0	0	0	0	1	0	0	0	0
77_14565	0	0	0	0	0	0	0	1	0	0	0	0
71_293634	0	0	0	0	0	0	0	1	0	0	0	0
76_72907	0	0	0	0	0	0	0	1	0	0	0	0
73_193028	0	0	0	0	0	0	0	0	0	0	1	0
96_288303	0	0	0	0	0	1	0	0	0	0	0	0
75.2_52277	0	0	0	0	0	0	0	1	0	0	0	0
75.2_108984	0	0	0	0	0	0	0	1	0	0	0	0
75_197808	0	0	0	0	0	0	0	1	0	0	0	0
71_128142	0	0	0	0	0	0	0	1	0	0	0	0
89_345	0	0	0	0	1	0	0	0	0	0	0	0
52_160311	0	0	0	0	0	0	0	1	0	0	0	0
51_50972	0	0	0	0	0	0	0	1	0	0	0	0
72.2_15473	0	0	0	0	0	0	0	1	0	0	0	0
71_17846	0	0	0	0	0	0	0	1	0	0	0	0
62_97837	0	0	0	0	0	0	0	0	0	1	0	0
65_23273	0	1	0	0	0	0	0	0	0	0	0	0
73_395905	0	0	0	0	0	0	0	1	0	0	0	0
75.2_321837	0	0	0	0	0	0	0	1	0	0	0	0
75_1172289	0	0	0	0	0	0	0	1	0	0	0	0
75_143185	0	0	0	0	0	0	0	1	0	0	0	0
75_95914	0	0	0	0	0	0	0	1	0	0	0	0
75_191220	0	0	0	0	0	0	0	1	0	0	0	0
73.2_37847	0	0	0	0	0	0	0	1	0	0	0	0
38_275433	0	0	0	0	0	0	1	0	0	0	0	0
68.2_14367	0	0	0	0	0	0	0	1	0	0	0	0
71.2_43695	0	0	0	0	0	0	0	1	0	0	0	0
75.2_528642	0	0	0	0	0	0	0	1	0	0	0	0
68.2_235473	0	0	0	0	0	0	0	1	0	0	0	0
68.2_241586	0	0	0	0	0	0	0	1	0	0	0	0
75.2_197765	0	0	0	0	0	0	0	1	0	0	0	0
75_369174	0	0	0	0	0	0	0	1	0	0	0	0
71_9830	0	0	0	0	0	0	0	1	0	0	0	0
71.2_165390	0	0	0	0	0	0	0	1	0	0	0	0
76_554453	0	0	0	0	0	0	0	1	0	0	0	0
71.2_761654	0	0	0	0	0	0	0	1	0	0	0	0
68.2_19900	0	0	0	0	0	0	0	1	0	0	0	0
73_519187	0	0	0	0	0	0	0	1	0	0	0	0
71_225847	0	0	0	0	0	0	0	1	0	0	0	0
75_712821	0	0	0	0	0	0	0	1	0	0	0	0
68.2_718422	0	0	0	0	0	0	0	1	0	0	0	0
68.2_565982	0	0	0	0	0	0	0	1	0	0	0	0
75_875488	0	0	0	0	0	0	0	1	0	0	0	0
28_1055102	0	0	0	0	0	0	0	1	0	0	0	0
73.2_21288	0	0	0	0	0	0	0	1	0	0	0	0
95_35697	0	0	0	0	0	0	0	1	0	0	0	0
76.2_158660	0	0	0	0	0	0	0	1	0	0	0	0
21_89236	0	0	0	0	0	0	1	0	0	0	0	0
76.2_113305	0	0	0	0	0	0	0	1	0	0	0	0
71.2_53731	0	0	0	0	0	0	0	1	0	0	0	0
75.2_518625	0	0	0	0	0	0	0	1	0	0	0	0
75_290764	0	0	0	0	0	0	0	1	0	0	0	0
75.2_1142344	0	0	0	0	0	0	0	1	0	0	0	0
11_17776	0	0	0	0	0	0	0	1	0	0	0	0
68_797477	0	0	0	0	0	0	0	1	0	0	0	0
73_316955	0	0	0	0	0	0	0	1	0	0	0	0
